title,symbol_price_change,symbol_price_change_ratio,VnId_score,score
Revealing "Super Shark" Sold More Than 120 Million ACB Shares in the Trillion -Dollar Agriment,-1,0,-0.5,-0.4
ACB: Report of Changing Ownership of the Foreign Investor Group,-1,0,-0.5,-0.4
ACB: Dragon Financial Holdings Limited,-1,0,-0.5,-0.4
ACB: Signing the audit Contract in 2023,-1,-1,-1,-1
ACB: Report on the company managing in the first 6 months of 2023,-1,0,-1,-0.6
ACB: Resolution of the board of directors on the plan to Issue Individual Bonds for the first time in 2023,-1,0,-1,-0.6
ACB: Change of Establishment and Operation License (Supplementing the Content of Operation),-1,0,1,0.2
"ACB: Trading 506,615,264 Additional Listed Shares",-1,-1,0.5,-0.4
"ACB: 6.7.2023, Additional Listing 506,615,264 Shares",-1,0,-0.5,-0.4
"ACB Officially Increased ITS Charter Capital to Nearly 39,000 Billion, Chairman Tran Hung Huy Owned 3.43% of the Shares",1,0,-0.5,0
ACB: Resolution of the board of directors,1,0,-0.5,0
ACB: 39th Business Registration Certificate,-1,-1,-0.5,-0.8
ACB: Change of Establishment and Operation License,1,0,0.5,0.4
ACB: Resolution of the Board of Director on the Policy of Cooperation Between ACB and ACBS,1,0,-1,-0.2
"ACB Bank Wants to Spend 10,000 Billion Bought Bonds Before The Date",-1,0,-1,-0.6
President Tran Hung Huy has an additional 17.4 Million Shares of ACB and 116 Billion dong after the 'lonely dance' dance on the sofa ',-1,0,0.5,0
"ACB: ISSUED 506,615,264 Shares to Pay DividiDIDID",-1,0,1,0.2
"ACB: The number of Voting Shares is Circulating is 3,884,050,358 Shares",1,0,-1,-0.2
How Did ACB Under President Tran Hung Huy Change?,1,0,-1,-0.2
ACB's 'UpSream' Choice on the Occasion of the 30th Anniversary,-1,0,-1,-0.6
ACB: Resolution of the Board of Director on Transactions Between ACB and ACBS,1,1,1,1
ACB: Resolution of the Board of Director on Education Between ACB and Asia Banking and Finance Company Limited,1,1,1,1
"ACB: 1.6.2023, The Date of Education and DividiDID in 2022 in Cash (1,000 VND/CP), with Stocks (Ratio 100: 15)",-1,0,0.5,0
ACB: DKC Exercises The Right to Pay DividiDID IN 2022 In Cash and Stocks,1,0,-1,-0.2
ACB: Executing Shares to Pay DividiDIDID 2022,1,0,-1,-0.2
"The Company Capital 5 Billion Foreign Borrowing VND 1,400 Billion with an interest rate of 20%/year to buy to buy ACB Shares Now?",1,0,1,0.6000000000000001
"ACB Recruited Large -Scale With More Than 1,000 Personnel, Committed to feedback in 5 days from the candidate",1,1,1,1
"In the first quarter of 2023 ACB, more than 5,156 bullion VND, An incase of 25% over the same period",-1,0,-0.25,-0.3
ACB: Explaining the Difference in LNST 1/2023 Compared to the same Period last year,-1,0,0.5,0
ACB: Resolution of the board of director,-1,0,-0.5,-0.4
"ACB: Mrs. Dang Thuy - A Member of the Board of Director has not sold 50,000 shares",-1,0,-0.5,-0.4
ACB: Resolution and Minutes of the 2023 Annual General Meeting of Shareholders,-1,0,-1,-0.6
ACB Instead of Chief Accountant,-1,0,-1,-0.6
ACB: Exemption from Mr. Nguyen Van Hoa - Chief Accountant From 13.4.2023,-1,0,-1,-0.6
ACB: Appointing Ms. Duong Thi Nguyet To Hold The Position of Chief Accountant From 13.4.2023,-1,0,-1,-0.6
"ACB Profit Before Tax 5,120 Billion dong in the first Quarter of 2023, Up 24% Over the Same Period",-1,0,-1,-0.6
"ACB AGM: In 2023, Profit is exped to exceed 20 trillion, DIVIDend of 25%",-1,0,-1,-0.6
ACB: The Resolution of the Board of Director Adds Documents to the Annual Shareholder Meeting in 2023,1,0,1,0.6000000000000001
"ACB: Mrs. Dang Thuy - TV.HÐQT Sold 128,800 Shares",-1,0,1,0.2
"ACB: Resolution of the Board of Directors v/V Providing Spending Services Through API for ACB Securities Co., Ltd.",1,1,1,1
"ACB Chairman Tran Hung Huy: Roe Bank Index Shows Value to Shareholders, Always in the Highest Group on the Market",-1,0,1,0.2
"ACB Aims to Profit in 2023 Exceeding 20,000 Billion VND, DIVIDend of 25%",1,1,0.5,0.8
ACB: Organization of the Annual Shareholder Meeting in 2023,1,1,0.5,0.8
"ACB: Mrs. Dang Thu Thuy - TV.HÐQT Registered to sell 50,000 Shares",-1,0,0.5,0
"ACB: Mrs. Dang Thuy's Sister -in -Law -TV.HÐQT HAS not Sold 50,000 Shares",-1,0,0.5,0
ACB: Explanation of the Auditing Model Difference in 2022 Compared to the Same Period Last Year,1,1,1,1
"ACB: 10.3.2023, Date of Education and Education Attended the Annual General Meeting of Shareholders in 2023",1,0,-0.5,0
"ACB: Mrs. Dang Thuy - TV.HÐQT Registered to sell 250,000 Shares",1,1,-1,0.20000000000000007
"Dragon Capital has just bought an additional 4 million ACB Shares, after selling the stb",1,1,-1,0.20000000000000007
ACB: Report changes in ownership exceeds 1% of Foreign Investors,-1,0,-1,-0.6
ACB: DKC DKC TO EXERCISE The Right to Attend The Annual General Meeting of Shareholders in 2023,-1,0,-1,-0.6
"ACB Stock Transactions, A Sanctioned Securities Company",-1,0,0.5,0
ACB Leaders Revealed a Plan To Divide Cash DividiDIDIDS and Profit Targets in 2023,-1,-1,-0.5,-0.8
"The Vice General Director of ACB Bought a Large Amount of ACB Shares, Worth More Than 30 Billion",-1,-1,-1,-1
"ACB: Mr. Nguyen Khac Nguyen - Deputy General Director Bought 1,213,138 Shares",1,1,0.5,0.8
"Panoramic Scene of Banking Bank 2022: Update MB, SHB, VPBank, ACB, HDBank, Techcombank, Sacombank, ...",-1,-1,-1,-1
ACB: Explanation for changing lnst 4/2022 Compared to the same period last year,-1,-1,-1,-1
"ACB Exceeded The Business Plan In 2022, The Bad Debt Ratio was only 0.74%",-1,-1,-1,-1
ACB Deputy General Director Nguyen Khac Nguyen Registered to Buy 1.3 Million Shares,-1,-1,-1,-1
"ACB: Mr. Nguyen Khac Nguyen - Deputy General Director Registered to buy 1,300,000 shares",-1,0,1,0.2
ACB: Report on Company Management in 2022,1,0,1,0.6000000000000001
Add A Young Face Appointed by ACB as Deputy General Director,1,1,0.5,0.8
"ACB: Ms. Dang Thuy - TV.HÐQT Sold 61,000 Shares",-1,-1,-1,-1
ACB: Appointing Mr. Nguyen Khac Nguyen To Hold The Position of Deputy General Director from January 15,-1,-1,-1,-1
ACB: Appointing Mr. Ngo Tan Long as Deputy General Director from 12.1.2023,-1,-1,-1,-1
"Vietcombank, Vietinbank, BIDV, Techcombank, MB, VPBank, ACB and HDBank Will Have Advantages and Diffilies in 2023?",1,1,-0.5,0.4000000000000001
"ACB: 29.12.2022, Date of Education and Training Exercising the Right to Candidates and Nominations",-1,0,-0.5,-0.4
ACB: The Decision of the Board of Director for Cooperation with CK ACB,-1,0,-1,-0.6
ACB: Link notification of day dkcc to exercise the right to run for electrons and nominations for the term 2023-2028,-1,0,-0.5,-0.4
VIB and ACB Outstanding Top Asia & Australia Bank in Terms of Efficiency and Growth,1,0,0.5,0.4
Vietnam has the 6th Bank to Complete Basel III,-1,0,-1,-0.6
"ACB: Mrs. Dang Thuy - TV.HÐQT Registered to sell 310,000 Shares",-1,-1,-1,-1
"ACB: Mrs. Dang Thuy - TV.HÐQT Sold 100,000 Shares",-1,0,1,0.2
Fitch lifts the gsr ranking of ACB from B to B+,-1,0,0.5,0
ACB: Receiving the resignation of Ms. Phan Lac Kim Trinh - Company Secretary,-1,0,-1,-0.6
ACB: Report on the Results of the Internal Esop Shares,1,0,-0.5,0
"ACB: The Executive Committee of Asia Commercial Bank Trade Union Has Transferred 3,915,326 Shares",1,0,-0.5,0
"ACB: Mrs. Dang Thu Thuy - TV.HÐQT Registered to sell 300,000 shares",1,1,1,1
"ACB Reported that the Profit Before Tax Reached VND 13,500 Billion in the First 9 Months of the Year, The Bad Debt Ratio of 1%",-1,-1,-1,-1
Add 3 Banks to Announce The Results of October 21: A Bank Reported Twice in the 3rd Quarter of 2022,-1,-1,-1,-1
ACB: Exemption from the Title of Deputy General Director for Ms. Nguyen Ngoc Nhu Uyen from 10.10.2022,1,1,1,1
ACB: Decision of the board of director,1,1,1,1
ACB: Transfer of Shares of Hoa Phat Real Estate Joint Stock Company,1,0,1,0.6000000000000001
"ACB: Ms. Dang Thuy - TV.HÐQT Sold 70,000 Shares",-1,0,-0.5,-0.4
ACB: The SBV's Decision is added to the Content of Operation at the Establishment and Operation License,-1,0,-0.5,-0.4
ACB: Notice of Esop Shares of Internal People,-1,0,0.5,0
"ACB: Executive Committee of Asia Commercial Bank Trade Union Registered to Transfer 4,104,290 Shares",-1,0,0.5,0
ACB: Receiving the resignation of Ms. Nguyen Ngoc Nhu Uyen - Deputy General Director,1,0,1,0.6000000000000001
"A Petroleum Transport Business Has Sold Eib Shares, Bought a Large Amount of ACB Shares",1,0,1,0.6000000000000001
"The Younger Brother of the Board of Directors of ACB Registered to sell 100,000 Shares",1,0,0.5,0.4
"ACB: Mrs. Dang Thuy - TV.HÐQT Registered to sell 100,000 Shares",1,1,0.5,0.8
"ACB: Re -Appointing Ms. Nguyen Thi Tuyet Van as Deputy General Director from 1,9.2022",-1,0,-0.5,-0.4
ACB: Explaining the Difference in the Semi -Financial Management Model in 2022 Compared to the Same Period Last Year,1,0,1,0.6000000000000001
ACB: Credit Limited for Asian Financial Leasing One Member Limited Company,1,0,-0.5,0
ACB: Thien Viet Securities Joint Stock Company Corrects The Report on Stock Trading Results,-1,0,-0.5,-0.4
ACB: Report on Company Management Situation in the First 6 Months of 2022,1,1,1,1
ACB: Transaction 675.487.019 Additional Listing,1,1,0.5,0.8
ACB: Signing the audit Contract 2022,-1,0,-0.5,-0.4
Self -Sales Net Withdrawal After 4 Bought Sessions,-1,0,-0.5,-0.4
ACB: The 38th Business Registration Certificate,-1,0,0.5,0
ACB: Decision of the Board of Directors Regarding the Content of the Charter Capital,-1,0,-0.5,-0.4
"ACB: 6.7.2022, Additional Listing 675,487,019 CP",-1,0,-1,-0.6
ACB: The decision of the board of directors confirms the loss of members of the board of director for the term of 2018 - 2023,1,1,0.5,0.8
What Makes ACB's Different Position After Nearly 3 Decades of Development?,1,0,-0.5,0
ACB: Reminder Slowly Announcing the Notice of Changing The Number of Shares with Voting Rights,-1,-1,1,-0.2
"ACB: The number of Voting Shares is Circulating is 3,377,435,094 Shares",-1,-1,-1,-1
"ACB: ISSUED 675,487,019 Shares to pay Divididi",-1,0,-1,-0.6
ACB Closed the Right to Pay DividiDID by Stocks of 25%,-1,0,-0.5,-0.4
"ACB: 2.6.2022, The Date of Education for DividiDID IN 2021 (100: 25)",1,1,1,1
ACB: Publishing Shares to Pay DividiDID IN 2021,1,1,1,1
"The State Bank Allows ACB to Increase Capital to Nearly 33,800 Billion",-1,-1,-0.5,-0.8
What do Banks Calculate When Paring Trillions Into the Stock Segment?,-1,-1,-0.5,-0.8
The first time Escaping the backup bur,1,0,0.5,0.4
"Many banks are highly targeted by analysts, upside upside upside access by tens of %",-1,0,-0.5,-0.4
"A Bank is about to Issue 675 Million Shares to pay DividiDIDO TO Shareholders, 25%",1,0,-0.5,0
ACB: Resolution and Minutes of Annual Shareholder Meeting in 2022,-1,0,-0.5,-0.4
"ACB Estimated VND 4,200 Billion in the first Quarter of this year, Credit Growth 5.2%",1,0,-0.5,0
"[Live] Shareholders: ACB Plans to Profit Over 15,000 Billion Dong, DIVIDEND OF 25% In 2022.",1,0,-0.5,0
ACB: DKKC to exercise the right to attend the Annual General Meeting of Morality in 2022,-1,0,0.5,0
ACB: Report on Company Management in 2021,1,1,-0.5,0.4000000000000001
"ACB's Profit Before Taxed Nearly 12,000 Billion, Profit from Business Securities Soared",1,1,0.5,0.8
ACB: 37th Business Registration Certificate,1,1,0.5,0.8
"Before Replacing the General Manager, How Did ACB Mokeover Under Mr. Do Minh Toan?",1,0,-0.5,0
Mr. Nguyen Khac Nguyen was appointed deputy generation of ACB,-1,0,-0.5,-0.4
ACB Shareholders have Just Reached Over 9 Million Shares,-1,0,-0.5,-0.4
ACB: Appointing Mr. TU TUY PHAT AS General Director from 14.1.2022,-1,0,0.5,0
ACB Bank has a New General Director,-1,0,0.5,0
"The Least Known CEO HAS The Longest Term, Associated with the historic turning point at ACB",-1,0,-1,-0.6
"Predicting Profit in Q4: MB, Techcombank and BIDV Increased sharply, ACB, Vietcombank and Vietinbank Decrosed",1,1,1,1
"ACB: Mrs. Nguyen Thi Hai - Deputy General Director Sold 461,336 Shares",-1,0,0.5,0
"ACB: Mrs. Nguyen Thi Hai - Deputy General Director Registered to sell 500,000 shares",-1,0,0.5,0
More than 10 million shares of ACB have just beer given the ceiling price,1,1,1,1
"There are more than 50 Businesses on the Stock Market, Reporting Interest In Exceeding Trillions After 3 Quarters",-1,0,1,0.2
"Revealing The Top 10 Highest Interest Banks In The First 9 Months of 2021: There are 6 Banks Reaching Over 10,000 Billion",-1,0,-1,-0.6
"LPB ShareHolders are disappointed Because ""Being Beaten"" Session ATC, SHB, MSB and ACB Shareholders Joy When The Price Increases Unexpectedly",1,1,1,1
"ACB: Renewal of the Appointment Term Mr. Because Minh Toan Held The Position of CEO from October 23, 2021 to 28.2222",-1,-1,-1,-1
Mr. Because Minh Toan will be the General Director of ACB Until The End of February 2022,-1,-1,-1,-1
"ACB Reported A Profit of 9,000 Billion VND 9",-1,0,-1,-0.6
The Most Special Bank President in Vietnam and the 10 -Year Journey of 'Return to the Horse' ',-1,0,-0.5,-0.4
Predict profit in the thirter of 8 banks,1,0,0.5,0.4
The Opportunity to Invest in Stocks from Businesses Incrained Positive Profits In The Thart Quarter,1,0,0.5,0.4
ACB: Re -Appointing Ms. Nguyen Thi Tuyet Van as Deputy General Director from January 1,1,0,-0.5,0
ACB: Explanation of Sales Volatility in 2021,1,0,1,0.6000000000000001
List of banks with a record high debt Coverage,-1,0,-1,-0.6
Dozens of Businesses Reported Trillions After The First Half of 2021,-1,0,-1,-0.6
ACB: Report on the company Management Situation in the first 6 months of 2021,1,1,0.5,0.8
"ACB Reported More Than 6,300 Billion dong in Advance in the First 6 Months of the Year, The Provision Costs Increased Nearly 4 Times",1,0,-0.5,0
"Vietinbank, MB, Techcombank have tens of trillion output of Foreign debt after the settings?",1,0,0.5,0.4
Where are the banks of banks in the first 6 months of this year?,1,0,0.5,0.4
Vnfinlead etf and dcvfm vn30 etf will buy a total of 30 million acb shares in the july structure,-1,-1,-1,-1
"6 -Month ACB Profit Increased by 68%, Provisioning all debt structure",-1,-1,-1,-1
ACB Reduces Loan Interest rates up to 1% for all existing customers,1,1,0.5,0.8
ACB: Signing the audit Contract of the 2021,-1,-1,-1,-1
ACB: The Decision of the State Bank of Vietnam Regarding the Content of the Charter Capital in the Establishment and Operation License,-1,-1,-1,-1
"ACB: 12.7.2021, Additional Listing 540,389,615 shares",-1,-1,-1,-1
Bank's Profit Forecast,-1,0,-0.5,-0.4
Selling 3.7 million ACB Shares of "Election" Kien,1,1,1,1
ACB: Sell Assets to Execute Sentences,1,1,1,1
ACB: 36th Business Registration Certificate,1,1,1,1
"""Quota"" Credit of ACB, MB Will Be Maximized to 15%",1,0,0.5,0.4
"ACB: DC Developing Markets Strategies Public Limited Company has Sold 894,800 Shares",-1,0,-0.5,-0.4
"ACB: The number of Voting Shares is Circulating is 2,701,948,075 Shares",-1,-1,-1,-1
"ACB: ISSUED 540,389,615 Shares to pay Divididi",-1,-1,-1,-1
"ACB: Mr. Nguyen Duc Thai Han's Sister -in -Law -Deputy General Director Sold 10,000 Shares",1,0,0.5,0.4
"Attendance of Businesses That Close the Right to Receive DividiDIDI IN CASH, Shares and Bonus Stocks from 7/6-11/6/6",-1,-1,-1,-1
ACB: Publishing Shares to Pay Divididi,-1,0,1,0.2
"ACB: 10.6.2021, Days of Days Pay 2020 by Shares (Ratio 100: 25)",-1,0,1,0.2
ACB is Preparing to pay DividiDID by Shares of 25%,-1,0,0.5,0
ACB: Decision of the board of director on the 3rd indicual bond Issuance Plan In 2021,1,1,0.5,0.8
ACB: DC Developing Markets Strategies Public Limited Company,1,1,0.5,0.8
"ACB was approved to insital capital to more than 27,000 bullion dong",1,0,-0.5,0
"The 1st Quarterly Interest Club Has Called 22 Enterprises, The Championship has changed the owner",1,1,0.5,0.8
"ACB: The Executive Committee of Asia Commercial Bank Trade Union Sold 1,142,773 Shares",-1,-1,-0.5,-0.8
"Investment Fund Managed by Dragon Capital Has Just Sold 2.9 Million ACB Shares, Earning More Than 108 Billion Dong Dong",-1,-1,-0.5,-0.8
"ACB Reported Interest Before Tax in Quarter 1/2021 More than VND 3,100 Billion, Bad Debt Increased by 60%",1,1,0.5,0.8
ACB: Decision of the board of director on the 2nd indicual bond ISSANance Plan 2021,1,1,0.5,0.8
"ACB: Norges Bank Bought 8,565,224 Shares",-1,0,1,0.2
"ACB: Ssmit Bought 368,000 Shares",-1,0,1,0.2
ACB: The decision of the board of directors on the 1st indicual bond Issuance Plan for 2021,1,1,1,1
ACB: Resolution and Minutes of Annual Shareholder Meeting in 2021,-1,0,1,0.2
"ACB General Meeting of Shareholders: does not divest Acbs, develop the Northern Market",1,0,1,0.6000000000000001
"ACB VAIRMAN TRAN HUNG HUY: IN 2021, THERE are many favorable factors, The Bank Will Achieve Positive Results",1,0,1,0.6000000000000001
ACB: Distribution of 2nd Bonus Shares to Employees,-1,0,1,0.2
"ACB: Aril Sold 54,342,844 Shares",1,0,-1,-0.2
"ACB: FBIL HAS Sold 53,505,280 Shares",1,0,-1,-0.2
Cash Flow Continuously Pourated Into Bank Stocks,1,0,0.5,0.4
The Fund Group is Managed by Dragon Capital to Buy 10.5 Million Shares,1,0,0.5,0.4
Dragon Capital Wants to buy more than 10 million ACB Shares,1,0,0.5,0.4
"ACB: Samsung Vietnam Securities Master Investment Trust [Equity] (SSMIT) Register to Buy 500,000 Shares",1,0,1,0.6000000000000001
"ACB: Norges Bank Registered to buy 10,000,000 shares",1,0,1,0.6000000000000001
ACB: Organization of the Annual Shareholder Meeting in 2021,1,0,-1,-0.2
"ACB Aims to Profit Over 10,000 Billion This Year, Expected DividiDIDS with Stocks of 25%",1,1,1,1
Dragon Capital Net Sold 95 Million Shares ACB,1,1,1,1
"ACB: DC Developing Markets Bought 5,000,000 Shares",-1,0,-1,-0.6
ACB: Report changes in ownership of Foreign Investors,-1,0,-1,-0.6
ACB: The Board's Decision on Credit Limited,1,1,1,1
"ACB Agreed More Than 100 Million Shares, The Dragon Capital Group was about to sell",1,1,1,1
"From ACB, Looking back on the hit divestment of dragon capital",1,1,1,1
ACB: Organization's Stock Transactions Related to Internal People,-1,-1,-1,-1
Dragon Capital Group Registered to sell more than 100 million ACB Shares,1,1,1,1
ACB: Explanation of Profit After Tax Difference in 2020 Compared to 2019,-1,0,1,0.2
"The 50 Biggest Profit Enterprises Brought more than VND 240,000 Billion in Profit in 2020",-1,0,-0.25,-0.3
The Trillion -Dollar Profit Club in 2020 Calls More Than Fifty Businesses,-1,0,-0.25,-0.3
"ACB: 4.3.2021, Date of Education and Training Attending the Annual Shareholder Meeting in 2021",1,1,0.5,0.8
ACB: Report on Company Management Situation in 2020,-1,0,-0.5,-0.4
"ACB: Re -Appoint Mr. Bui tan tai as deputy general director from January 26, 2021",1,1,1,1
ACB: Organization of the Annual General Meeting of Shareholders in 2021,-1,0,0.5,0
"VOS: Asian Commercial Bank Has Sold 2,720,600 Shares is no Longer a CDL",-1,-1,-1,-1
VOS: Asian Commercial Bank Reports The Change of Ownership,-1,-1,-1,-1
"ACB: Re -Appoint Mr. Nguyen Van Hoa as A Financial Director, Deputy General Director",-1,0,-1,-0.6
BID: Decision on changing the address of Ninh Binh Branch Headquarters,-1,-1,-0.5,-0.8
BID: Notice of receiving a letter from the SSC on Reporting the Results of the Stock ISSAUce to Pay DividiDIDIDID,-1,-1,-0.5,-0.8
BID: The Decision of the General Director on the Change of the Location of the Han River Branch Headquarters,-1,-1,-0.5,-0.8
"BID: The number of Voting Shares is Circulating is 6,897,515,268 Shares",-1,-1,-0.5,-0.8
BID: Amendment of Organization and Operation Rules,-1,0,1,0.2
BID: Resolutions and records of vare vote of the general meeting of shareholders Collected shareholders in writing,1,1,1,1
"BID: The Board of Directors Approved The Contract, The Transaction Leased An Additional Area at the 11th Floor, BIDV Tower",-1,0,-1,-0.6
"BID: 23.12.2024, Date of Education and Training Bonus CP (100: 21: 21)",-1,0,-0.5,-0.4
