title,score,label
investor sell 145 million share earn 4000 billion dong,0.0,1
report chang ownership foreign investor group whistler invest limit,0.8,2
share seddenli appiev seri huge agreement 4000 billion hand foreign investor,0.2,1
aim profit vnd 22000 billion 2024 expect divid cash ratio 10,-0.6000000000000001,0
notic organ annual sharehold meet 2024,-0.6000000000000001,0
explan profit tax differ 2023 audit compar 2022,0.2,1
2922024 date educ train attend annual gener meet sharehold 2024,0.0,1
notic organ annual sharehold meet 2024,0.2,1
complet busi goal 2023 grow higher industri averag,0.8,2
explan profit tax differ quarter 42023 compar q4 2022,0.8,2
report compani manag situion 2023,-0.4,0
appoint mr bui tan tai mr nguyen duc thai han deputi gener director,-0.4,0
7 month danc rain chairman tran hung huy share peak histori capit reach threshold 100000 billion,0.2,1
resolut board director appoint mr nguyen van hoa mr ngo tan long deputi gener director,0.2,1
nhat huy food joint stock compani sold 57500 share,0.2,1
resolut board director grant credit,-0.4,0
appoint mr nguyen van hoa deputi gener director concurr financi director,0.8,2
nhat huy food joint stock compani regist sale 57500 share,0.0,1
chose 2023 pioneer publish separ report sustain develop esg vietnam,-1.0,0
notic chang content,-1.0,0
top 20 biggest profit enterpris market seem like bank privat playground nearli half interest rate decreas 1 unit growth 600,-0.2,1
explan profit tax differ quarter 32023 compar 3rd quarter 2022,-0.4,0
first 9 month grow stabl effect risk control,-0.4,0
resolut board director 2nd indicu bond issu plan fiscal year 2023,0.0,1
compani capit 5 billion foreign borrow 1400 billion vnd interest rate 20year buy buy buy share paid debt year earli,-0.4,0
compani capit 5 billion foreign borrow vnd 1400 billion interest rate 20year buy buy buy share profit nearli 1000 billion first half 2023,0.0,1
explan lnst differ semi 2023 semi year review 2023 year compar period last year,0.4,2
appoint ms nguyen thi tuyet van deputi gener director 192023,-0.2,1
reveal super shark sold 120 million share trillion dollar agriment,-0.4,0
report chang ownership foreign investor group,-0.4,0
dragon financi hold limit,-0.4,0
sign audit contract 2023,-1.0,0
report compani manag first 6 month 2023,-0.6000000000000001,0
resolut board director plan issu individu bond first time 2023,-0.6000000000000001,0
chang establish oper licens supplement content oper,0.2,1
trade 506615264 addit list share,-0.4000000000000001,0
672023 addit list 506615264 share,-0.4,0
offici increas charter capit nearli 39000 billion chairman tran hung huy own 343 share,0.0,1
resolut board director,0.0,1
39th busi registr certif,-0.8,0
chang establish oper licens,0.4,2
resolut board director polici cooper acb,-0.2,1
bank want spend 10000 billion bought bond date,-0.6000000000000001,0
presid tran hung huy addit 174 million share 116 billion dong lone danc danc sofa,0.0,1
issu 506615264 share pay dividididid,0.2,1
number vote share circul 3884050358 share,-0.2,1
presid tran hung huy chang,-0.2,1
upsream choic occas 30th anniversari,-0.6000000000000001,0
resolut board director transact acb,1.0,2
resolut board director educ asia bank financ compani limit,1.0,2
162023 date educ divididid 2022 cash 1000 vndcp stock ratio 100 15,0.0,1
dkc exercis right pay divididid 2022 cash stock,-0.2,1
execut share pay dividididid 2022,-0.2,1
compani capit 5 billion foreign borrow vnd 1400 billion interest rate 20year buy buy share,0.6000000000000001,2
recruit larg scale 1000 personnel commit feedback 5 day candid,1.0,2
first quarter 2023 5156 bullion vnd incas 25 period,-0.3,0
explain differ lnst 12023 compar period last year,0.0,1
resolut board director,-0.4,0
mr dang thuy member board director sold 50000 share,-0.4,0
resolut minut 2023 annual gener meet sharehold,-0.6000000000000001,0
instead chief account,-0.6000000000000001,0
exempt mr nguyen van hoa chief account 1342023,-0.6000000000000001,0
appoint ms duong thi nguyet hold posit chief account 1342023,-0.6000000000000001,0
profit tax 5120 billion dong first quarter 2023 24 period,-0.6000000000000001,0
agm 2023 profit exp exceed 20 trillion dividend 25,-0.6000000000000001,0
resolut board director add document annual sharehold meet 2023,0.6000000000000001,2
mr dang thuy tvhđqt sold 128800 share,0.2,1
resolut board director vv provid spend servic api secur co ltd,1.0,2
chairman tran hung huy roe bank index show valu sharehold alway highest group market,0.2,1
aim profit 2023 exceed 20000 billion vnd dividend 25,0.8,2
organ annual sharehold meet 2023,0.8,2
mr dang thu thuy tvhđqt regist sell 50000 share,0.0,1
mr dang thuy sister law tvhđqt sold 50000 share,0.0,1
explan audit model differ 2022 compar period last year,1.0,2
1032023 date educ educ attend annual gener meet sharehold 2023,0.0,1
mr dang thuy tvhđqt regist sell 250000 share,0.2,1
dragon capit bought addit 4 million share sell stb,0.2,1
report chang ownership exce 1 foreign investor,-0.6000000000000001,0
dkc dkc exercis right attend annual gener meet sharehold 2023,-0.6000000000000001,0
stock transact sanction secur compani,0.0,1
leader reveal plan divid cash dividididid profit target 2023,-0.8,0
vice gener director bought larg amount share worth 30 billion,-1.0,0
mr nguyen khac nguyen deputi gener director bought 1213138 share,0.8,2
panoram scene bank bank 2022 updat mb shb vpbank hdbank techcombank sacombank,-1.0,0
explan chang lnst 42022 compar period last year,-1.0,0
exceed busi plan 2022 bad debt ratio 074,-1.0,0
deputi gener director nguyen khac nguyen regist buy 13 million share,-1.0,0
mr nguyen khac nguyen deputi gener director regist buy 1300000 share,0.2,1
report compani manag 2022,0.6000000000000001,2
add young face appoint deputi gener director,0.8,2
ms dang thuy tvhđqt sold 61000 share,-1.0,0
appoint mr nguyen khac nguyen hold posit deputi gener director januari 15,-1.0,0
appoint mr ngo tan long deputi gener director 1212023,-1.0,0
vietcombank vietinbank bidv techcombank mb vpbank hdbank advantag diffili 2023,0.4000000000000001,2
29122022 date educ train exercis right candid nomin,-0.4,0
decis board director cooper ck,-0.6000000000000001,0
link notif day dkcc exercis right run electron nomin term 20232028,-0.4,0
vib outstand top asia australia bank term effici growth,0.4,2
vietnam 6th bank complet basel iii,-0.6000000000000001,0
mr dang thuy tvhđqt regist sell 310000 share,-1.0,0
mr dang thuy tvhđqt sold 100000 share,0.2,1
fitch lift gsr rank b b,0.0,1
receiv resign ms phan lac kim trinh compani secretari,-0.6000000000000001,0
report result intern esop share,0.0,1
execut committe asia commerci bank trade union transfer 3915326 share,0.0,1
mr dang thu thuy tvhđqt regist sell 300000 share,1.0,2
report profit tax reach vnd 13500 billion first 9 month year bad debt ratio 1,-1.0,0
add 3 bank announc result octob 21 bank report twice 3rd quarter 2022,-1.0,0
exempt titl deputi gener director ms nguyen ngoc nhu uyen 10102022,1.0,2
decis board director,1.0,2
transfer share hoa phat real estat joint stock compani,0.6000000000000001,2
ms dang thuy tvhđqt sold 70000 share,-0.4,0
sbv decis ad content oper establish oper licens,-0.4,0
notic esop share intern peopl,0.0,1
execut committe asia commerci bank trade union regist transfer 4104290 share,0.0,1
receiv resign ms nguyen ngoc nhu uyen deputi gener director,0.6000000000000001,2
petroleum transport busi sold eib share bought larg amount share,0.6000000000000001,2
younger brother board director regist sell 100000 share,0.4,2
mr dang thuy tvhđqt regist sell 100000 share,0.8,2
appoint ms nguyen thi tuyet van deputi gener director 192022,-0.4,0
explain differ semi financi manag model 2022 compar period last year,0.6000000000000001,2
credit limit asian financi leas one member limit compani,0.0,1
thien viet secur joint stock compani correct report stock trade result,-0.4,0
report compani manag situat first 6 month 2022,1.0,2
transact 675487019 addit list,0.8,2
sign audit contract 2022,-0.4,0
self sale net withdraw 4 bought session,-0.4,0
38th busi registr certif,0.0,1
decis board director regard content charter capit,-0.4,0
672022 addit list 675487019 cp,-0.6000000000000001,0
decis board director confirm loss member board director term 2018 2023,0.8,2
make differ posit nearli 3 decad develop,0.0,1
remind slowli announc notic chang number share vote right,-0.2,1
number vote share circul 3377435094 share,-1.0,0
issu 675487019 share pay divididi,-0.6000000000000001,0
close right pay divididid stock 25,-0.4,0
262022 date educ divididid 2021 100 25,1.0,2
publish share pay divididid 2021,1.0,2
state bank allow increas capit nearli 33800 billion,-0.8,0
bank calcul pare trillion stock segment,-0.8,0
first time escap backup bur,0.4,2
mani bank highli target analyst upsid upsid upsid access ten,-0.4,0
bank issu 675 million share pay divididido sharehold 25,0.0,1
resolut minut annual sharehold meet 2022,-0.4,0
estim vnd 4200 billion first quarter year credit growth 52,0.0,1
live sharehold plan profit 15000 billion dong dividend 25 2022,0.0,1
dkkc exercis right attend annual gener meet moral 2022,0.0,1
report compani manag 2021,0.4000000000000001,2
profit tax nearli 12000 billion profit busi secur soar,0.8,2
37th busi registr certif,0.8,2
replac gener manag mokeov mr minh toan,0.0,1
mr nguyen khac nguyen appoint deputi gener,-0.4,0
sharehold reach 9 million share,-0.4,0
appoint mr tu tuy phat gener director 1412022,0.0,1
bank new gener director,0.0,1
least known ceo longest term associ histor turn point,-0.6000000000000001,0
predict profit q4 mb techcombank bidv increas sharpli vietcombank vietinbank decros,1.0,2
mr nguyen thi hai deputi gener director sold 461336 share,0.0,1
mr nguyen thi hai deputi gener director regist sell 500000 share,0.0,1
10 million share beer given ceil price,1.0,2
50 busi stock market report interest exceed trillion 3 quarter,0.2,1
reveal top 10 highest interest bank first 9 month 2021 6 bank reach 10000 billion,-0.6000000000000001,0
lpb sharehold disappoint beaten session atc shb msb sharehold joy price increas unexpectedli,1.0,2
renew appoint term mr minh toan held posit ceo octob 23 2021 282222,-1.0,0
mr minh toan gener director end februari 2022,-1.0,0
report profit 9000 billion vnd 9,-0.6000000000000001,0
special bank presid vietnam 10 year journey return hors,-0.4,0
predict profit thirter 8 bank,0.4,2
opportun invest stock busi incrain posit profit thart quarter,0.4,2
appoint ms nguyen thi tuyet van deputi gener director januari 1,0.0,1
explan sale volatil 2021,0.6000000000000001,2
list bank record high debt coverag,-0.6000000000000001,0
dozen busi report trillion first half 2021,-0.6000000000000001,0
report compani manag situat first 6 month 2021,0.8,2
report 6300 billion dong advanc first 6 month year provis cost increas nearli 4 time,0.0,1
vietinbank mb techcombank ten trillion output foreign debt set,0.4,2
bank bank first 6 month year,0.4,2
vnfinlead etf dcvfm vn30 etf buy total 30 million acb share juli structur,-1.0,0
6 month profit increas 68 provis debt structur,-1.0,0
reduc loan interest rate 1 exist custom,0.8,2
sign audit contract 2021,-1.0,0
decis state bank vietnam regard content charter capit establish oper licens,-1.0,0
1272021 addit list 540389615 share,-1.0,0
bank profit forecast,-0.4,0
sell 37 million share elect kien,1.0,2
sell asset execut sentenc,1.0,2
36th busi registr certif,1.0,2
quota credit mb maxim 15,0.4,2
dc develop market strategi public limit compani sold 894800 share,-0.4,0
number vote share circul 2701948075 share,-1.0,0
issu 540389615 share pay divididi,-1.0,0
mr nguyen duc thai han sister law deputi gener director sold 10000 share,0.4,2
attend busi close right receiv dividididi cash share bonu stock 761166,-1.0,0
publish share pay divididi,0.2,1
1062021 day day pay 2020 share ratio 100 25,0.2,1
prepar pay divididid share 25,0.0,1
decis board director 3rd indicu bond issuanc plan 2021,0.8,2
dc develop market strategi public limit compani,0.8,2
approv insit capit 27000 bullion dong,0.0,1
1st quarterli interest club call 22 enterpris championship chang owner,0.8,2
execut committe asia commerci bank trade union sold 1142773 share,-0.8,0
invest fund manag dragon capit sold 29 million share earn 108 billion dong dong,-0.8,0
report interest tax quarter 12021 vnd 3100 billion bad debt increas 60,0.8,2
decis board director 2nd indicu bond issan plan 2021,0.8,2
norg bank bought 8565224 share,0.2,1
ssmit bought 368000 share,0.2,1
decis board director 1st indicu bond issuanc plan 2021,1.0,2
resolut minut annual sharehold meet 2021,0.2,1
gener meet sharehold divest acb develop northern market,0.6000000000000001,2
vairman tran hung huy 2021 mani favor factor bank achiev posit result,0.6000000000000001,2
distribut 2nd bonu share employe,0.2,1
aril sold 54342844 share,-0.2,1
fbil sold 53505280 share,-0.2,1
cash flow continu pourat bank stock,0.4,2
fund group manag dragon capit buy 105 million share,0.4,2
dragon capit want buy 10 million share,0.4,2
samsung vietnam secur master invest trust equiti ssmit regist buy 500000 share,0.6000000000000001,2
norg bank regist buy 10000000 share,0.6000000000000001,2
organ annual sharehold meet 2021,-0.2,1
aim profit 10000 billion year expect divididid stock 25,1.0,2
dragon capit net sold 95 million share,1.0,2
dc develop market bought 5000000 share,-0.6000000000000001,0
report chang ownership foreign investor,-0.6000000000000001,0
board decis credit limit,1.0,2
agre 100 million share dragon capit group sell,1.0,2
look back hit divest dragon capit,1.0,2
organ stock transact relat intern peopl,-1.0,0
dragon capit group regist sell 100 million share,1.0,2
explan profit tax differ 2020 compar 2019,0.2,1
50 biggest profit enterpris brought vnd 240000 billion profit 2020,-0.3,0
trillion dollar profit club 2020 call fifti busi,-0.3,0
432021 date educ train attend annual sharehold meet 2021,0.8,2
report compani manag situat 2020,-0.4,0
appoint mr bui tan tai deputi gener director januari 26 2021,1.0,2
organ annual gener meet sharehold 2021,0.0,1
vo asian commerci bank sold 2720600 share longer cdl,-1.0,0
vo asian commerci bank report chang ownership,-1.0,0
appoint mr nguyen van hoa financi director deputi gener director,-0.6000000000000001,0
decis chang address ninh binh branch headquart,-0.8,0
notic receiv letter ssc report result stock issauc pay divididididid,-0.8,0
decis gener director chang locat han river branch headquart,-0.8,0
number vote share circul 6897515268 share,-0.8,0
amend organ oper rule,0.2,1
resolut record vare vote gener meet sharehold collect sharehold write,1.0,2
board director approv contract transact leas addit area 11th floor bidv tower,-0.6000000000000001,0
23122024 date educ train bonu cp 100 21 21,-0.4,0
notic 26852 26850 26848 26829 26851 last registr date exercis right buy princip pay bond interest,0.0,1
largest bank vietnam close right receiv divididid decemb 24,0.0,1
notic content relat stock issan pay bidv divididididid,-0.4,0
resolut board director dividend payment,-0.6000000000000001,0
decis convert di binh duong branch pgd belong nam binh duong branch,0.6000000000000001,2
notic receiv letter sbv approv incurs charter capit bidv,0.6000000000000001,2
bid notic retir enjoy social insur regim execut board member,-0.2,1
notic document collect sharehold write 2024,1.0,2
decis ceo chang locat lam son branch headquart,1.0,2
decis ceo chang locat bac hung yen branch headquart,1.0,2
decis ceo chang name locat branch headquart transfer manag educ depart ham nghi branch,-0.8,0
resolut board director approv plan incent charter capit 2024 share pay divididi,-0.8,0
decis chang address khanh hoa mong cai new neighborhood headquart,0.8,2
board director approv cooper agrement implement cd_flex activ bidv bsc,0.8,2
novemb 26 2024 date educ train sharehold write,0.4,2
resolut board director organ collect sharehold write 2024 notif final registr date collect sharehold write,-1.0,0
board director approv agrov person data protect bidv bsc,0.2,1
board director apprevov contract transact kdv tt activ,0.2,1
appoint ms pham thi thanh nga mr dang xuan thang charg manag 1112024,-0.4,0
board director apprv acquisit fund loan project palac gener hospit bidccntphcm,-0.4,0
notic final registr date exercis right buy bond term bid121028 bond code bid121027,-0.6000000000000001,0
decis board director approv agent contract 2024 bidv metlif life insur co ltd,0.6000000000000001,2
decis board director money gold insur contract bidv bidv insur corpor bic,0.6000000000000001,2
board director apprevov contract leas transact 03rd floor bidv tower,-0.4,0
board director approv offic leas contract bidc bidv represent offic cambodia,-0.4,0
board director apprv plan contract bic rent unus area someon bidv branch,0.0,1
board director apprv plan approv contract mhb rent unus area bidv,0.0,1
decis chang address phu nhuan branch headquart,0.0,1
decis ceo chang locat hoc mon branch headquart,0.0,1
board director approv technic support contract bidv keb hana bank,0.0,1
decis chang locat offic bac quang binh branch,1.0,2
absent 2 compani v first time histori top 5 biggest enterpris stock market unit domin state,-0.4,0
resolut board director approv plan issu citi increas 3rd individu capit 2024,-0.4000000000000001,0
board director apprevov plan contract bic rent unus area bidv dinh branch,-0.4000000000000001,0
first vietnames bank reach 25 million billion dong total asset,1.0,2
report compani manag situat first 6 month 2024,-0.4,0
period report situat princip interest corpor bond first 6 month 2024 separ,-0.6000000000000001,0
board director apprevov money insur contract busi establish cash bank transport road,-0.2,1
resolut board director approv citi issuanc plan insit ssi,0.0,1
resolut board director approv plan buy back deadlin bid12234,0.0,1
notic amend supplement organ oper charter,0.8,2
author mr tran phuong publish inform,0.8,2
decis board director approv transact involv parti,-0.8,0
mb resolut board director establish maximum credit limit vnd 2300 billion bidv,-0.4,0
resolut board director issu individu bond 2024,-1.0,0
decis board director chang locat tam diep branch headquart,0.4,2
board director apprv loan transact bidv thanh xuan bidc hanoi,-0.4,0
resolut board director approv plan issu bond,0.2,1
notic sign audit contract 2024,0.2,1
resolut minut annual sharehold meet 2024,0.0,1
resolut board director approv plan issu bond increas capit separ,0.8,2
resolut board director approv situat list elig bond record level 2,0.8,2
board director apprevov servic contract order bondcredit trade order cum agreement method transact via faxemail bsc,-0.2,1
link announc document meet annual sharehold meet 2024,-0.6000000000000001,0
bidv issu individu share much,1.0,2
appoint mr ham jin sik member execut board 132024,1.0,2
2532024 date educ educ attend annual sharehold 2024,-1.0,0
valu 4 time vietcombank vinfast unit countri surpassid bidv capit reach 310000 billion dong nearli 100000 billion half year,1.0,2
ms phan thi chinh member board director retir 162024,0.6000000000000001,2
decis board director amend regul organ oper,0.6000000000000001,2
total capit big 3 bank vietcombank bidv vietinbank exceed 1 million billion dong account 15 valu hose,1.0,2
bid notic resolut board director organ 2024 annual gener meet sharehold,1.0,2
bidv soon sell capit foreign investor,0.2,1
bid share increas new tran lap top bidv capit exceeded mileston vnd 300000 billion,0.2,1
termin contract mr sung ki jung member execut board 132024,-0.6000000000000001,0
explan profit tax differ quarter 42023 compar q42022,1.0,2
cbtt content relat bidv personel,-1.0,0
appoint mr quach hung hiep member board director januari 30 2024,-1.0,0
resolut minut unusu gener meet sharehold 2024,-1.0,0
appoint mr nguyen trung kien member supervisori board 3012024,-1.0,0
appoint ms take memori bk 3012024,-1.0,0
report situat compani 2023,0.8,2
situat payment interest princip 2023,0.8,2
board director apprv plan contract leas unus area phu tho branch branch hand hand,-0.4,0
btn tp peopl court accept case credit contract disput accord lawsuit bidv bank,-0.6000000000000001,0
decis board director approv contract buy properti insur bic,0.4,2
bid mr quach hung hiep deputi gener director sold 49610 share,0.4,2
vietnames bank shook hand lead financi institut japan korea singapor vietcombank vietinbank bidv grew strongli strateg sharehold big even mani time profit,1.0,2
link announc unusu meet gener meet sharehold 2024,1.0,2
bid mr quach hung hiep deputi gener director regist sale 49610 share,1.0,2
bidv share peak histori keb hana bank twice 4 year strateg sharehold,-1.0,0
decis gener director chang locat headquart sa pa branch,1.0,2
notic day dkc exercis right pay princip bond interest,1.0,2
bidv report 27400 billion dong tax profit 2023,1.0,2
28th busi registr certif,1.0,2
1112024 trade 641912084 addit list share,0.2,1
resolut board director approv content agent contract bic,-0.6000000000000001,0
board director apprv agent appendix 022023 bidv metlif,0.4000000000000001,2
29122023 addit list 641912084 share,0.0,1
decis vietnam state bank amend content charter capit oper licens bid,-0.2,1
decis board director approv insur handl plan first place,0.0,1
6th busi registr certif,0.8,2
board director apprv offic plan contract bidv saigon sumi trust,0.4,2
cbtt dkc dkc exercis right pay bond interest,-0.4,0
adjust individu consolid financi statement 2022 accord conclus state audit,0.0,1
28122023 date educ train attend extraorrdinari gener meet sharehold 2024,0.0,1
enterpris rent vietnam structur sharehold larg busi everi day profit billion dong dong,-0.4,0
report stock issuanc result pay dividididid,-0.4,0
board director approv content agent contract 2023,-0.4,0
decis board director approv credit grant lvb financ male sum 1a hydroelectr project,0.0,1
bidv prepar extraordinari sharehold meet,0.8,2
resolut board director organ extraordinari sharehold meet 2024,0.8,2
number vote share circul 5700435900 share,0.8,2
chang locat cam mix branch,0.0,1
reveal revenu profit largest busi vietnam,0.2,1
novemb 28 2023 date educ train issu share pay divididididi ratio 100 1269,0.4,2
cbtt chang locat dong thap branch headquart,1.0,2
bidv edmond de rothschild cooper provid lead privat bank servic vietnam,0.0,1
cbtt content relat stock issuanc pay divididi,1.0,2
cbtt receiv letter ssc stock issuanc report pay dividididid,1.0,2
notic transact relev parti,-1.0,0
resolut board director issu bond increas indicu capit separ fourth quarter 2023,-1.0,0
resolut board director imag plan insit,1.0,2
cbtt receiv letter state bank increas charter capit,-0.4,0
notic chang locat nam ky ky nghia branch headquart,0.4,2
resolut board director pay divididid stock,0.0,1
decis board director approv ship inscript contract bic,-0.8,0
board director apprevov agrov amend technic support contract bidv hana bank first time,0.2,1
cbtt resolut board director approv plan issu individu bond,0.2,1
board director apprv transact involv parti,0.4,2
board director apprv plan contract leas unus area hung yen branch headquart,0.4,2
board director apprv plan contract leas part unus area headquart kien thanh,0.4,2
cbtt resolut board director approv transact involv parti,-0.6000000000000001,0
decis board director regard chang locat citi branch thu duc,0.2,1
explan lnst fluctuion second quarter 2023 compar period last year,0.6000000000000001,2
first time 6 year interest rate bidv surpas techcombank return runner posit system,0.6000000000000001,2
report compani manag situat first 6 month 2023,-0.6000000000000001,0
interest princip payment situat first 6 month 2023,0.6000000000000001,2
receiv decis hanoi stock exchang approv bond list,0.0,1
bid123003 decis approv list bank bank invest develop vietnam,1.0,2
bid123002 decis approv list bank bank invest develop vietnam,1.0,2
bid123004 decis approv list bank bank invest develop vietnam,1.0,2
bid123002 public inform vietnam invest develop commerci joint stock bank,1.0,2
bid123003 announc inform vietnam invest develop commerci joint stock bank,1.0,2
bid123004 announc inform vietnam invest develop joint stock commerci bank,1.0,2
bid121027 transact relev parti valc,-0.8,0
resolut board director regard transact relev parti,-0.8,0
bid121027 transact relat parti keb hana bank hanoi branch,0.8,2
cbtt day dkcc exercis right pay interest term 02,0.8,2
board director approv transact relev parti,0.8,2
resolut board director,-0.6000000000000001,0
bid122003 cbtt issu bond increas individu capit 2023,-0.6000000000000001,0
bid122005 cbtt issu bond increas individu capit 2023,-0.6000000000000001,0
bid122004 cbtt issu bond increas capit separ 2023,-0.6000000000000001,0
bid121027 cbtt issu bond increas individu capit 2023,-0.6000000000000001,0
bid121028 cbtt issu bond increas capit separ 2023,-0.6000000000000001,0
bid121027 chang locat hung vuong branch headquart,-0.2,1
decis gener director regard chang locat hung vuong branch headquart,0.2,1
bid121027 cbtt trade relev parti hana bank china,0.4,2
transact notic relev parti,-0.6000000000000001,0
mani giant bank sell capit foreign countri,-1.0,0
bidv sell vnd 121 billion debt mortgag 4086m2 tan binh land ho chi minh citi 400000 dl1 share,-0.6000000000000001,0
bid121027 cbtt trade relev parti bic east,-0.6000000000000001,0
decis board director approv transact clq,-0.6000000000000001,0
bid121027 charter vietnam invest develop commerci joint stock bank 2023,-0.6000000000000001,0
bidv 2023,-0.6000000000000001,0
bid121027 cbtt transact relev parti,1.0,2
bid121027 notic personel chang,-0.4,0
bid121027 send state capit repres bidv,-0.4,0
transact notic relat parti,-0.4,0
bid121027 resolut annual gener meet sharehold 2023,0.0,1
bidl2129006c stop review registr file secur list hanoi stock exchang,0.0,1
bidl2131007c stop review registr file secur list hanoi stock exchang,0.0,1
bidl2128005c stop review registr file secur list hanoi stock exchang,0.0,1
bid121027 transact relev parti keb hana bank hanoi ho chi minh branch,0.0,1
appoint mr dang van tuyen hold posit member board director april 28 2023,0.0,1
decis sbv represent state capit bidv,0.0,1
meet minut resolut,0.0,1
board director apprv contractagrova commit limit bidv keb hana bank branch,0.0,1
bidv gener meet prepar dividi expect profit 2023 increas 1015,0.0,1
bid121027 cbtt audit contract annual,-0.4,0
sign audit servic contract 2023,0.0,1
bid121027 cbtt chang locat nam dinh branch,-0.6000000000000001,0
decis chang address nam dinh branch headquart,-0.6000000000000001,0
document document meet annual gener meet sharehold 2023,-0.6000000000000001,0
bid121027 cbtt trade relev parti bidv tower,0.2,1
board director apprv polici plan contract leas offic area 12th floor bidv tower,0.2,1
report use capit collect issuanc bond decemb 31 2022,-0.2,1
bid121027 cbtt report use money collect issuanc bond bond outstand loan decemb 31 2022,-0.2,1
annual sharehold meet bank 2023,0.4,2
vietcombank bidv addit usd 10 billion capit 5 month 4 time novaland kinh bac phat dat dic corp dat xanh combin,-0.6000000000000001,0
bank stock secur wave knot still wait remov,0.2,1
supplement content amend custom develop cooper contract bidv bsc,-0.4,0
bid121027 cbtt trade relev parti bsc,-0.4,0
2332023 date educ educ attend annual gener meet sharehold 2023,0.4000000000000001,2
bid121027 resolut organ 2023 annual gener meet sharehold,-0.4,0
resolut board director organ annual sharehold meet 2023,0.2,1
bid121027 inform number control board term 20222027,-0.2,1
bid121028 compani administr report 2022,-0.2,1
thank bidv profit 70 reach approxim 1 billion usd 2022,1.0,2
report compani manag situion 2022,0.2,1
bid122005 cbtt period report situat princip interest corpor bond,-0.2,1
bid122005 cbtt result offer bond 2nd public direct distribut,-0.2,1
bid122004 cbtt bc period situat princip interest corpor bond,-0.2,1
bid122004 cbtt result offer bond second public direct distribut,-0.2,1
bid122003 cbtt period report situat princip interest corpor bond,-0.2,1
bid122003 cbtt result offer bond public phase 2 direct distribut,-0.2,1
bid121028 cbtt period report situat princip interest corpor bond,-0.2,1
bid121027 cbtt period report situat princip interest corpor bond,-0.2,1
bid121027 cbtt result offer bond 2nd public direct distribut,-0.2,1
report result public bond issuanc second phase direct distribut,1.0,2
period report sacituion princip interest corpor bond,1.0,2
bidv becam runner vietnam stock market capit surpassid duo vingroup,0.8,2
bid121027 cbtt trade relev parti bic,0.8,2
board director approv bidv money insur contract bic insur compani 2023,0.8,2
bid122005 cbtt chang locat lach tray branch,-0.8,0
bid122004 cbtt chang locat lach tray branch,-0.8,0
bid122003 cbtt chang locat lach tray branch,-0.8,0
bid121028 cbtt chang locat lach tray branch,-0.8,0
bid121027 cbtt chang locat lach tray branch,-0.8,0
bid121027 cbtt final registr date exercis right pay bond interest,-0.8,0
bid122005 cbtt audit contract annual,-0.8,0
bid122003 cbtt audit contract annual,-0.8,0
bid122004 cbtt annual audit contract,-0.8,0
bid121028 cbtt annual audit contract,-0.8,0
decis chang locat lach tray branch headquart,-0.8,0
bid122005 report document implement bid 2nd public bond offer,0.8,2
issu bond public phase 2,0.8,2
bid121027 report document implement bid 2nd public bond offer,0.8,2
