time,symbol,title
2023-04-21,ACB,ACB: Resolution of the Board of Directors Regarding the implementation of shares to pay dividends in 2022
2023-04-18,ACB,"ACB: Mrs. Dang Thu Thuy - a member of the Board of Directors has not sold 50,000 shares"
2023-04-14,ACB,ACB: Resolution and minutes of the 2023 Annual General Meeting of Shareholders
2023-04-14,ACB,ACB instead of chief accountant
2023-04-13,ACB,ACB: Exemption from Mr. Nguyen Van Hoa - Chief Accountant from 13.4.2023
2023-04-13,ACB,ACB: Appointing Ms. Duong Thi Nguyet to hold the position of Chief Accountant from 13.4.2023
2023-04-13,ACB,"ACB profit before tax 5,120 billion dong in the first quarter of 2023, up 24% over the same period"
2023-04-13,ACB,"ACB AGM: In 2023, profit is expected to exceed 20 trillion, dividend of 25%"
2023-04-13,ACB,"ACB AGM: In 2023, profit is expected to exceed 20 trillion, dividend of 25%"
2023-04-11,ACB,ACB: The Resolution of the Board of Directors adds documents to the annual shareholder meeting in 2023
2023-04-03,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT sold 128,800 shares"
2023-03-31,ACB,"ACB: Resolution of the Board of Directors V/V providing spending services through API for ACB Securities Co., Ltd."
2023-03-30,ACB,"ACB Chairman Tran Hung Huy: ROE bank index shows value to shareholders, always in the highest group on the market"
2023-03-23,ACB,"ACB aims to profit in 2023 exceeding 20,000 billion VND, dividend of 25%"
2023-03-23,ACB,ACB: Organization of the annual shareholder meeting in 2023
2023-03-10,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT registered to sell 50,000 shares"
2023-03-10,ACB,"ACB: Mrs. Dang Thu Thuy's sister -in -law - TV.H?QT has not sold 50,000 shares"
2023-03-09,ACB,ACB: Explanation of the Auditing Model Difference in 2022 compared to the same period last year
2023-03-02,ACB,"ACB: 10.3.2023, Date of Education and Education attended the annual General Meeting of Shareholders in 2023"
2023-02-23,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT registered to sell 250,000 shares"
2023-02-23,ACB,"Dragon Capital has just bought an additional 4 million ACB shares, after selling the STB"
2023-02-22,ACB,ACB: Report changes in ownership exceeds 1% of foreign investors
2023-02-21,ACB,ACB: DKC DKC to exercise the right to attend the annual General Meeting of Shareholders in 2023
2023-02-17,ACB,"ACB stock transactions, a sanctioned securities company"
2023-02-10,ACB,ACB leaders revealed a plan to divide cash dividends and profit targets in 2023
2023-02-07,ACB,"The Vice General Director of ACB bought a large amount of ACB shares, worth more than 30 billion"
2023-02-06,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT registered to sell 50,000 shares"
2023-02-06,ACB,"ACB: Mr. Nguyen Khac Nguyen - Deputy General Director bought 1,213,138 shares"
2023-01-30,ACB,"Panoramic scene of Banking Bank 2022: Update MB, SHB, VPBank, ACB, HDBank, Techcombank, Sacombank, ..."
2023-01-30,ACB,ACB: Explanation for changing LNST 4/2022 compared to the same period last year
2023-01-30,ACB,"ACB exceeded the business plan in 2022, the bad debt ratio was only 0.74%"
2023-01-30,ACB,ACB Deputy General Director Nguyen Khac Nguyen registered to buy 1.3 million shares
2023-01-27,ACB,"ACB: Mr. Nguyen Khac Nguyen - Deputy General Director registered to buy 1,300,000 shares"
2023-01-17,ACB,ACB: Report on company management in 2022
2023-01-16,ACB,Add a young face appointed by ACB as Deputy General Director
2023-01-13,ACB,"ACB: Ms. Dang Thu Thuy - TV.H?QT sold 61,000 shares"
2023-01-13,ACB,ACB: Appointing Mr. Nguyen Khac Nguyen to hold the position of Deputy General Director from January 15
2023-01-13,ACB,ACB: Appointing Mr. Ngo Tan Long as Deputy General Director from 12.1.2023
2023-01-06,ACB,"Vietcombank, Vietinbank, BIDV, Techcombank, MB, VPBank, ACB and HDBank will have advantages and difficulties in 2023?"
2022-12-23,ACB,"ACB: 29.12.2022, Date of Education and Training exercising the right to candidates and nominations"
2022-12-20,ACB,ACB: The decision of the Board of Directors for cooperation with CK ACB
2022-12-16,ACB,ACB: Link notification of day dkcc to exercise the right to run for election and nominations for the term 2023-2028
2022-12-15,ACB,VIB and ACB outstanding Top Asia & Australia Bank in terms of efficiency and growth
2022-12-07,ACB,Vietnam has the 6th bank to complete Basel III
2022-12-06,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT registered to sell 310,000 shares"
2022-11-30,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT sold 100,000 shares"
2022-11-25,ACB,Fitch lifts the GSR ranking of ACB from B to B+
2022-10-28,ACB,ACB: Receiving the resignation of Ms. Phan Lac Kim Trinh - Company Secretary
2022-10-26,ACB,ACB: Report on the results of the internal ESOP shares
2022-10-26,ACB,"ACB: The Executive Committee of Asia Commercial Bank Trade Union has transferred 3,915,326 shares"
2022-10-25,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT registered to sell 300,000 shares"
2022-10-21,ACB,"ACB reported that the profit before tax reached VND 13,500 billion in the first 9 months of the year, the bad debt ratio of 1%"
2022-10-21,ACB,Add 3 banks to announce the results of October 21: A bank reported twice in the 3rd quarter of 2022
2022-10-12,ACB,ACB: Exemption from the title of Deputy General Director for Ms. Nguyen Ngoc Nhu Uyen from 10.10.2022
2022-10-12,ACB,ACB: Decision of the Board of Directors regarding the acquisition of ACB Fund Management One Member Limited Company
2022-09-30,ACB,ACB: Transfer of shares of Hoa Phat Real Estate Joint Stock Company to CK ACB
2022-09-28,ACB,"ACB: Ms. Dang Thu Thuy - TV.H?QT sold 70,000 shares"
2022-09-13,ACB,ACB: The SBV's decision is added to the content of operation at the establishment and operation license
2022-08-30,ACB,ACB: Notice of ESOP shares of internal people
2022-08-30,ACB,"ACB: Executive Committee of Asia Commercial Bank Trade Union registered to transfer 4,104,290 shares"
2022-08-29,ACB,ACB: Receiving the resignation of Ms. Nguyen Ngoc Nhu Uyen - Deputy General Director
2022-08-29,ACB,"A petroleum transport business has sold EIB shares, bought a large amount of ACB shares"
2022-08-24,ACB,"The younger brother of the Board of Directors of ACB registered to sell 100,000 shares"
2022-08-23,ACB,"ACB: Mrs. Dang Thu Thuy - TV.H?QT registered to sell 100,000 shares"
2022-08-19,ACB,"ACB: Re -appointing Ms. Nguyen Thi Tuyet Van as Deputy General Director from 1,9.2022"
2022-08-15,ACB,ACB: Explaining the difference in the Semi -Financial Management Model in 2022 compared to the same period last year
2022-08-03,ACB,ACB: Decision of the Board of Directors regarding and amending and supplementing the Regulation on CBTT
2022-07-26,ACB,ACB: Credit limit for Asian financial leasing One Member Limited Company
2022-07-25,ACB,ACB: Thien Viet Securities Joint Stock Company corrects the report on stock trading results
2022-07-21,ACB,ACB: Report on company management situation in the first 6 months of 2022
2022-07-12,ACB,ACB: Transaction 675.487.019 additional listing
2022-07-11,ACB,ACB: Signing the Audit Contract 2022
2022-07-08,ACB,Self -sales net withdrawal after 4 bought sessions
2022-07-07,ACB,ACB: The 38th business registration certificate
2022-07-06,ACB,ACB: Decision of the Board of Directors regarding the content of the charter capital
2022-07-05,ACB,"ACB: 6.7.2022, additional listing 675,487,019 CP"
2022-06-30,ACB,ACB: Change of establishment and operation license
2022-06-28,ACB,ACB: The decision of the Board of Directors confirms the loss of members of the Board of Directors for the term of 2018 - 2023
2022-06-24,ACB,What makes ACB's different position after nearly 3 decades of development?
2022-06-17,ACB,ACB: Reminder slowly announcing the notice of changing the number of shares with voting rights
2022-06-15,ACB,"ACB: The number of voting shares is circulating is 3,377,435,094 shares"
2022-06-10,ACB,"ACB: issued 675,487,019 shares to pay dividends"
2022-05-26,ACB,ACB closed the right to pay dividends by stocks of 25%
2022-05-25,ACB,"ACB: 2.6.2022, the date of education for dividends in 2021 (100: 25)"
2022-05-25,ACB,ACB: Publishing shares to pay dividends in 2021
2022-05-05,ACB,"The State Bank allows ACB to increase capital to nearly 33,800 billion"
2022-05-04,ACB,What do banks calculate when pouring trillions into the stock segment?
2022-04-27,ACB,"The first time escaping the backup burden since the first quarter of 2019, the profit of ACB bank increased sharply in the first quarter of the year"
2022-04-15,ACB,"Many bank stocks are highly targeted by analysts, upside upside increased by tens of %"
2022-04-14,ACB,"A bank is about to issue 675 million shares to pay dividends to shareholders, 25%"
2022-04-13,ACB,ACB: Decision of the Board of Directors Regarding the implementation of the stock issuance plan to pay dividends in 2021
2022-04-12,ACB,ACB: Resolution and minutes of annual shareholder meeting in 2022
2022-04-07,ACB,"ACB estimated VND 4,200 billion in the first quarter of this year, credit growth 5.2%"
2022-04-07,ACB,"[Live] Shareholders: ACB plans to profit over 15,000 billion dong, dividend of 25% in 2022."
2022-02-09,ACB,ACB: DKKC to exercise the right to attend the annual General Meeting of Morality in 2022
2022-01-26,ACB,ACB: Report on company management in 2021
2022-01-25,ACB,"ACB's profit before tax reached nearly 12,000 billion, profit from business securities soared"
2022-01-21,ACB,ACB: 37th business registration certificate
2022-01-18,ACB,"Before replacing the general manager, how did ACB makeover under Mr. Do Minh Toan?"
2022-01-17,ACB,ACB: Appointing Mr. Nguyen Khac Nguyen to hold the position of Deputy General Director from January 15
2022-01-17,ACB,Mr. Nguyen Khac Nguyen was appointed Deputy General Director of ACB
2022-01-17,ACB,ACB shareholders have just reached over 9 million shares
2022-01-14,ACB,ACB: Appointing Mr. Tu Tien Phat as General Director from 14.1.2022
2022-01-14,ACB,ACB Bank has a new General Director
2022-01-13,ACB,"The least known CEO has the longest term, associated with the historic turning point at ACB"
2022-01-12,ACB,"Predicting profit in Q4: MB, Techcombank and BIDV increased sharply, ACB, Vietcombank and VietinBank decreased"
2022-01-04,ACB,"ACB: Mrs. Nguyen Thi Hai - Deputy General Director sold 461,336 shares"
2021-11-23,ACB,"ACB: Mrs. Nguyen Thi Hai - Deputy General Director registered to sell 500,000 shares"
2021-11-12,ACB,More than 10 million shares of ACB have just been given the ceiling price
2021-11-05,ACB,"There have been more than 50 businesses on the stock market, reporting interest in exceeding trillions after 3 quarters"
2021-11-01,ACB,"Revealing the top 10 highest interest banks in the first 9 months of 2021: There are 6 banks reaching over 10,000 billion"
2021-10-29,ACB,"LPB shareholders are disappointed because ""being beaten"" session ATC, SHB, MSB and ACB shareholders joy when the price increases unexpectedly"
2021-10-21,ACB,"ACB: Renewal of the appointment term Mr. Do Minh Toan held the position of CEO from October 23, 2021 to 28.2.2022"
2021-10-21,ACB,Mr. Do Minh Toan will be the General Director of ACB until the end of February 2022
2021-10-18,ACB,"ACB reported a profit of 9,000 billion VND 9 months"
2021-10-13,ACB,The most special bank president in Vietnam and the 10 -year journey of 'return to the horse' '
2021-10-08,ACB,Predict profit in the third quarter of 8 banks
2021-09-30,ACB,The opportunity to invest in stocks from businesses increased positive profits in the third quarter
2021-08-24,ACB,ACB: Re -appointing Ms. Nguyen Thi Tuyet Van as Deputy General Director from January 1
2021-08-13,ACB,ACB: Explanation of sales volatility in 2021
2021-08-04,ACB,List of banks with a record high debt coverage
2021-08-04,ACB,Dozens of businesses reported trillions after the first half of 2021
2021-07-29,ACB,ACB: Report on the company management situation in the first 6 months of 2021
2021-07-27,ACB,"ACB reported more than 6,300 billion dong in advance in the first 6 months of the year, the provision costs increased nearly 4 times"
2021-07-22,ACB,"Vietinbank, MB, Techcombank have tens of trillion output of foreign debt after the setting?"
2021-07-22,ACB,Where are the banks of banks in the first 6 months of this year?
2021-07-19,ACB,VNFINLEAD ETF and DCVFM VN30 ETF will buy a total of 30 million ACB shares in the July structure
2021-07-19,ACB,"6 -month ACB profit increased by 68%, provisioning all debt structure"
2021-07-15,ACB,ACB reduces loan interest rates up to 1% for all existing customers
2021-07-12,ACB,ACB: Signing the Audit Contract of the 2021
2021-07-12,ACB,ACB: The decision of the State Bank of Vietnam regarding the content of the charter capital in the establishment and operation license
2021-07-09,ACB,"ACB: 12.7.2021, additional listing 540,389,615 shares"
2021-07-08,ACB,Bank's profit forecast
2021-07-07,ACB,"Selling 3.7 million ACB shares of ""election"" Kien"
2021-07-07,ACB,ACB: Sell assets to execute sentences
2021-07-07,ACB,ACB: 36th business registration certificate
2021-06-25,ACB,"""Quota"" credit of ACB, MB will be maximized to 15%"
2021-06-21,ACB,"ACB: DC Developing Markets Strategies Public Limited Company has sold 894,800 shares"
2021-06-16,ACB,"ACB: The number of voting shares is circulating is 2,701,948,075 shares"
2021-06-16,ACB,"ACB: issued 540,389,615 shares to pay dividends"
2021-06-11,ACB,"ACB: Mr. Nguyen Duc Thai Han's sister -in -law - Deputy General Director sold 10,000 shares"
2021-06-07,ACB,"Attendance of businesses that close the right to receive dividends in cash, shares and bonus stocks from 7/6-11/6"
2021-06-03,ACB,ACB: Publishing shares to pay dividends
2021-06-03,ACB,"ACB: 10.6.2021, DAYS OF DAYS PAY 2020 by shares (ratio 100: 25)"
2021-06-01,ACB,ACB is preparing to pay dividends by shares of 25%
2021-05-25,ACB,ACB: Decision of the Board of Directors on the 3rd individual bond issuance plan in 2021
2021-05-25,ACB,ACB: DC Developing Markets Strategies Public Limited Company
2021-05-14,ACB,"ACB was approved to increase charter capital to more than 27,000 billion dong"
2021-05-12,ACB,"The 1st quarterly interest club has called 22 enterprises, the championship has changed the owner"
2021-05-11,ACB,"ACB: The Executive Committee of Asia Commercial Bank Trade Union sold 1,142,773 shares"
2021-05-11,ACB,"Investment fund managed by Dragon Capital has just sold 2.9 million ACB shares, earning more than 108 billion dong"
2021-04-28,ACB,"ACB: DC Developing Markets Strategies Public Limited Company registers for sale 2,900,000 shares"
2021-04-23,ACB,"ACB reported interest before tax in quarter 1/2021 more than VND 3,100 billion, bad debt increased by more than 60%"
2021-04-23,ACB,ACB: Decision of the Board of Directors on the 2nd individual bond issuance plan 2021
2021-04-20,ACB,"ACB: Norges Bank bought 8,565,224 shares"
2021-04-20,ACB,"ACB: SSMIT bought 368,000 shares"
2021-04-12,ACB,ACB: The decision of the Board of Directors on the 1st individual bond issuance plan for 2021
2021-04-08,ACB,ACB: Decision of the Board of Directors Regarding the implementation of the stock issuance plan for dividends in 2020
2021-04-07,ACB,ACB: Resolution and minutes of annual shareholder meeting in 2021
2021-04-06,ACB,"ACB General Meeting of Shareholders: does not divest ACBS, develop the Northern market"
2021-04-06,ACB,"ACB Chairman Tran Hung Huy: In 2021, there are many favorable factors, the bank will achieve positive results"
2021-03-31,ACB,ACB: Distribution of 2nd bonus shares to employees
2021-03-24,ACB,"ACB: Aril sold 54,342,844 shares"
2021-03-24,ACB,"ACB: FBIL has sold 53,505,280 shares"
2021-03-18,ACB,Cash flow continuously poured into bank stocks
2021-03-18,ACB,The fund group is managed by Dragon Capital to buy 10.5 million shares
2021-03-18,ACB,Dragon Capital wants to buy more than 10 million ACB shares
2021-03-17,ACB,"ACB: Samsung Vietnam Securities Master Investment Trust [Equity] (SSMIT) Register to buy 500,000 shares"
2021-03-17,ACB,"ACB: Norges Bank registered to buy 10,000,000 shares"
2021-03-16,ACB,ACB: Organization of the annual shareholder meeting in 2021
2021-03-15,ACB,"ACB aims to profit over 10,000 billion this year, expected dividends with stocks of 25%"
2021-03-15,ACB,Dragon Capital net sold 95 million shares ACB
2021-03-12,ACB,"ACB: DC Developing Markets bought 5,000,000 shares"
2021-03-12,ACB,ACB: Report changes in ownership of foreign investors
2021-03-10,ACB,ACB: The Board's decision on credit limits
2021-03-10,ACB,"ACB agreed more than 100 million shares, the Dragon Capital group was about to sell"
2021-03-10,ACB,"From ACB, looking back on the hit divestment of Dragon Capital"
2021-03-08,ACB,ACB: Organization's stock transactions related to internal people
2021-03-05,ACB,Dragon Capital group registered to sell more than 100 million ACB shares
2021-03-01,ACB,ACB: Explanation of profit after tax difference in 2020 compared to 2019
2021-02-16,ACB,"The 50 biggest profit enterprises brought more than VND 240,000 billion in profit in 2020"
2021-02-15,ACB,The trillion -dollar profit club in 2020 calls more than fifty businesses
2021-02-09,ACB,"ACB: 4.3.2021, Date of Education and Training attending the annual shareholder meeting in 2021"
2021-02-01,ACB,ACB: Report on company management situation in 2020
2021-01-29,ACB,"ACB: Re -appoint Mr. Bui Tan Tai as Deputy General Director from January 26, 2021"
2021-01-25,ACB,ACB: Organization of the Annual General Meeting of Shareholders in 2021
2021-01-19,ACB,"VOS: Asian commercial bank has sold 2,720,600 shares is no longer a CDL"
2021-01-19,ACB,VOS: Asian commercial bank reports the change of ownership
2021-01-14,ACB,"ACB: Re -appoint Mr. Nguyen Van Hoa as a financial director, Deputy General Director"
2024-12-31,BID,BID: Decision on changing the address of Ninh Binh Branch headquarters
2024-12-31,BID,BID: Notice of receiving a letter from the SSC on reporting the results of the stock issuance to pay dividends
2024-12-30,BID,BID: The decision of the General Director on the change of the location of the Han River branch headquarters
2024-12-30,BID,"BID: The number of voting shares is circulating is 6,897,515,268 shares"
2024-12-27,BID,BID: Amendment of organization and operation rules
2024-12-25,BID,BID: Resolutions and records of Vare Vote of the General Meeting of Shareholders collected shareholders in writing
2024-12-19,BID,"BID: The Board of Directors approved the contract, the transaction leased an additional area at the 11th floor, BIDV tower"
2024-12-17,BID,"BID: 23.12.2024, Date of Education and Training Bonus CP (100: 21: 21)"
2024-12-16,BID,"BID: Notice No. 26852, 26850, 26848, 26829, 26851 on the last registration date to exercise the right to buy all the principal and or pay the bond interest"
2024-12-16,BID,The largest bank in Vietnam closed the right to receive dividends on December 24
2024-12-13,BID,BID: Notice contents related to stock issuance to pay BIDV's dividends
2024-12-10,BID,BID: Resolution of the Board of Directors on dividend payment
2024-12-09,BID,BID: The decision to convert Di An - Binh Duong branch into PGD belongs to Nam Binh Duong Branch
2024-12-09,BID,BID: Notice of receiving a letter from the SBV on the approval of increasing the charter capital of BIDV
2024-12-06,BID,BID: Notice of retirement to enjoy the social insurance regime of the Executive Board member
2024-12-05,BID,BID: Notice the document to collect shareholders in writing in 2024
2024-12-05,BID,BID: The decision of the CEO about the change of the location of Lam Son branch headquarters
2024-12-05,BID,BID: The decision of the CEO about the change of the location of Bac Hung Yen branch headquarters
2024-12-04,BID,"BID: The decision of the CEO about changing the name, location of the branch headquarters and the transfer of management of the education departments of Ham Nghi Branch"
2024-12-04,BID,BID: Resolution of the Board of Directors approving the plan to increase the charter capital 2024 through shares to pay dividends
2024-11-29,BID,"BID: The decision on changing the address of Khanh Hoa, Mong Cai and new neighborhoods headquarters"
2024-11-29,BID,BID: The Board of Directors approved the cooperation agreement to implement CD_Flex activities between BIDV and BSC
2024-11-21,BID,"BID: November 26, 2024, Date of Education and Training for shareholders in writing"
2024-11-14,BID,BID: The Resolution of the Board of Directors on organizing the collection of shareholders in writing in 2024 and notifying the final registration date for collecting shareholders in writing
2024-11-13,BID,BID: The Board of Directors approved the agreement on personal data protection between BIDV and BSC
